# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
gnoe 	常	c=10 d=4.05865e-10 t=64909
gnpn 	学院	c=2 d=4.13415e-86 t=64909
gnqx 	党团	c=1 d=5.72845e-64 t=64909
gnrd 	常态	c=1 d=1.09978e-60 t=64909
gnuy 	尝鲜	c=2 d=2.08251e-42 t=64909
gnvi 	学位	c=1 d=2.91966e-76 t=64909
gnwi 	常见	c=17 d=1.46999 t=64909
gnz 	学	c=2 d=6.72627e-12 t=64909
gnz 	逍	c=1 d=2.03871e-86 t=64909
go 	总	c=31 d=1.64061 t=64909
gogm 	总数	c=2 d=4.88261e-08 t=64909
goix 	总计	c=7 d=2.67892e-93 t=64909
gona 	总额	c=3 d=2.61322e-95 t=64909
gosg 	总共	c=2 d=6.3247e-103 t=64909
gou 	总	c=52 d=2.09604 t=64909
gouo 	总和	c=1 d=5.97583e-32 t=64909
govm 	总体	c=1 d=3.2408e-39 t=64909
gowy 	总结	c=12 d=2.88385 t=64909
gq 	曾	c=1 d=1.63961e-23 t=64909
gr 	头	c=23 d=0.00118858 t=64909
grhq 	券	c=1 d=5.93534e-99 t=64909
grl 	卷	c=3 d=8.91957e-119 t=64909
grlj 	卷	c=1 d=5.00914e-103 t=64909
grvh 	头像	c=3 d=3.34573e-11 t=64909
grxr 	头盔	c=1 d=1.80228e-77 t=64909
gsnx 	遵守	c=1 d=4.28539e-120 t=64909
gt 	师	c=3 d=2.45743e-19 t=64909
gtdx 	顺义	c=2 d=7.08138e-73 t=64909
gtfu 	单击	c=1 d=3.15134e-92 t=64909
gtge 	递归	c=1 d=1.16619e-44 t=64909
gtgw 	单元	c=49 d=7.5798e-23 t=64909
gth 	师	c=1 d=8.45531e-27 t=64909
gthh 	单一	c=2 d=7.39529e-50 t=64909
gthl 	单色	c=1 d=5.56804e-24 t=64909
gti 	单	c=10 d=1.88355 t=64909
gtid 	单	c=11 d=2.84056e-104 t=64909
gtiz 	单词	c=5 d=1.94169e-28 t=64909
gtjz 	递	c=1 d=1.44371e-26 t=64909
gtjz 	顺序	c=14 d=3.67206 t=64909
gtos 	单号	c=3 d=9.65019e-114 t=64909
gtqc 	单独	c=48 d=1.44805 t=64909
gtvh 	单行	c=1 d=1.30877e-48 t=64909
gtvi 	单个	c=7 d=1.19324e-49 t=64909
gtvi 	单位	c=86 d=0.00132117 t=64909
gtvi 	顺位	c=2 d=3.35757e-118 t=64909
gtvv 	单价	c=54 d=0.786628 t=64909
gtyg 	递增	c=31 d=9.44716e-59 t=64909
gu 	公	c=6 d=2.2405e-20 t=64909
gufh 	动物	c=2 d=0.767206 t=64909
guhq 	动画	c=14 d=1.33481 t=64909
gukb 	运算	c=19 d=1.3147e-13 t=64909
gukk 	运算符	c=1 d=1.37709e-29 t=64909
gul 	云	c=43 d=7.61806 t=64909
gul 	公	c=1 d=2.50078e-107 t=64909
guly 	云	c=7 d=1.0758e-87 t=64909
guna 	公安	c=2 d=1.27217 t=64909
gunf 	公用	c=7 d=0.0329137 t=64909
gunf 	运用	c=1 d=4.83882e-49 t=64909
gunx 	动网	c=1 d=6.43974e-88 t=64909
guor 	动员	c=1 d=0.767206 t=64909
gups 	公民	c=1 d=1.0127e-119 t=64909
gurd 	动态	c=22 d=2.61611 t=64909
gusg 	公共	c=14 d=1.96956 t=64909
gush 	公开	c=8 d=0.99005 t=64909
gusi 	公式	c=12 d=3.42701 t=64909
guuz 	公积金	c=1 d=1.59468e-49 t=64909
guvh 	运行	c=119 d=6.33727 t=64909
guvv 	公众	c=6 d=2.26257 t=64909
guvv 	动作	c=5 d=5.06773e-34 t=64909
guvv 	运作	c=1 d=1.51088e-61 t=64909
guwv 	运维	c=3 d=0.701173 t=64909
gux 	动	c=6 d=3.05103e-35 t=64909
guxe 	公布	c=1 d=5.39835e-101 t=64909
guz 	运	c=1 d=3.08862e-32 t=64909
guzh 	公司	c=70 d=11.9258 t=64909
gvi 	雀	c=3 d=6.95193e-106 t=64909
gvto 	谷歌	c=1 d=1.72116e-94 t=64909
gw 	元	c=124 d=7.67621 t=64909
gwbh 	元旦	c=2 d=5.11675e-59 t=64909
gwgw 	远远	c=1 d=4.65463e-63 t=64909
gwik 	远端	c=1 d=0.355226 t=64909
gwix 	远离	c=2 d=0.14818 t=64909
gwj 	元	c=1 d=4.74285e-78 t=64909
gwuo 	远程	c=43 d=0.995012 t=64909
gwvh 	远行	c=1 d=1.15514e-79 t=64909
gwvi 	远征	c=1 d=4.03034e-104 t=64909
gwyu 	远去	c=1 d=5.40531e-28 t=64909
gwyw 	元素	c=61 d=1.07429e-18 t=64909
gwz 	远	c=3 d=0.0972956 t=64909
gx 	父	c=12 d=1.6573e-21 t=64909
gxgx 	爸爸	c=1 d=8.94711e-45 t=64909
gxl 	爸	c=2 d=4.01242e-81 t=64909
gxp 	爷	c=1 d=7.29695e-117 t=64909
gxql 	父母	c=3 d=4.46077e-41 t=64909
gxxl 	父辈	c=1 d=9.48815e-118 t=64909
gxzz 	父子	c=1 d=1.07375e-43 t=64909
gz 	巡	c=1 d=7.30712e-104 t=64909
gzmb 	巡查	c=1 d=5.44131e-106 t=64909
gzmv 	巡检	c=15 d=3.02642e-28 t=64909
h 	一	c=1710 d=17.6977 t=64909
hbbu 	莫斯科	c=1 d=1.55393e-68 t=64909
hbui 	草稿	c=2 d=9.4087e-78 t=64909
hci 	萬	c=70 d=5.85869e-05 t=64909
hd 	死	c=8 d=2.59286e-34 t=64909
hdeu 	列出	c=17 d=1.53242 t=64909
hdg 	列	c=45 d=1.00118 t=64909
hdil 	死亡	c=3 d=2.98704e-34 t=64909
hdl 	死	c=12 d=1.08929e-31 t=64909
hdlf 	范	c=2 d=9.76748e-106 t=64909
hdmj 	死板	c=1 d=4.05839e-68 t=64909
hdng 	落实	c=1 d=6.17862e-101 t=64909
hdox 	落叶	c=2 d=0.00132017 t=64909
hdqf 	范围	c=32 d=0.740819 t=64909
hdtg 	萍	c=3 d=2.10368e-118 t=64909
hdyj 	列表	c=282 d=10.8689 t=64909
hesg 	雏形	c=2 d=3.72557e-22 t=64909
heu 	急	c=3 d=2.87726e-51 t=64909
hfna 	鞍	c=1 d=0.690734 t=64909
hfyy 	鞋	c=1 d=1.07628e-100 t=64909
hfz 	蓮	c=2 d=2.60624e-50 t=64909
hghl 	蓝色	c=1 d=0.0972956 t=64909
hgkq 	蓝	c=4 d=2.42208e-25 t=64909
hgpv 	删除	c=97 d=5.5553 t=64909
hgqa 	忽略	c=13 d=0.715338 t=64909
hgrh 	蓝牙	c=6 d=5.75318e-56 t=64909
hgtr 	蕦	c=1 d=9.14305e-94 t=64909
hgy 	坙	c=1 d=1.15616e-60 t=64909
hhfo 	警告	c=2 d=1.0507e-23 t=64909
hhgw 	万元	c=11 d=3.83872e-100 t=64909
hhhh 	葡萄	c=1 d=3.92573e-30 t=64909
hhhu 	一致	c=1 d=4.05537e-118 t=64909
hhlh 	一切	c=1 d=5.03886e-55 t=64909
hhnw 	一般	c=3 d=6.73437e-42 t=64909
hhz 	万	c=11 d=1.08784e-101 t=64909
hifh 	董事	c=1 d=1.20314e-58 t=64909
hih 	芳	c=5 d=1.91021e-26 t=64909
hjdo 	著名	c=1 d=6.50599e-32 t=64909
hjgt 	菜单	c=113 d=9.13889 t=64909
hjhj 	芹菜	c=1 d=1.98358e-87 t=64909
hjm 	菜	c=2 d=1.02727e-31 t=64909
hl 	色	c=25 d=0.184949 t=64909
hlfj 	包括	c=44 d=1.7132 t=64909
hlhn 	色带	c=2 d=5.81977e-94 t=64909
hlim 	包裹	c=3 d=2.05493e-91 t=64909
hljm 	色彩	c=1 d=0.0349094 t=64909
hlky 	包装	c=21 d=2.96495 t=64909
hlqf 	包围	c=1 d=5.98824e-27 t=64909
hlvd 	包含	c=56 d=1 t=64909
hlyi 	色差	c=2 d=4.50722e-59 t=64909
hlz 	包	c=121 d=7.196 t=64909
hlzl 	莲	c=1 d=3.98506e-30 t=64909
hlzz 	包子	c=1 d=2.02165e-46 t=64909
hn 	解	c=9 d=0.0190631 t=64909
hnbt 	解题	c=1 d=0.782704 t=64909
hndd 	丽	c=2 d=1.13826e-23 t=64909
hndr 	解决	c=34 d=4.66297 t=64909
hne 	帶	c=16 d=0.465334 t=64909
hned 	带	c=1 d=6.87434e-121 t=64909
hnf 	角	c=10 d=1.01751 t=64909
hnfc 	觸	c=2 d=1.32603e-54 t=64909
hnfh 	触摸	c=2 d=9.95061e-55 t=64909
hnfp 	一网打尽	c=1 d=0.677057 t=64909
hnh 	苎	c=3 d=1.61016e-45 t=64909
hnhd 	角落	c=1 d=9.81641e-77 t=64909
hnhl 	角色	c=96 d=5.83324 t=64909
hnhq 	蒙	c=1 d=8.23505e-40 t=64909
hni 	再	c=117 d=1.51188 t=64909
hnih 	解放	c=1 d=1.24752e-43 t=64909
hniv 	荣毅仁	c=1 d=7.39613e-70 t=64909
hnix 	角球	c=1 d=8.1615e-52 t=64909
hnix 	解读	c=1 d=1.29667e-27 t=64909
hnjy 	解压	c=11 d=7.15773e-09 t=64909
hnlv 	解疑	c=1 d=2.37938e-51 t=64909
hnmg 	带来	c=1 d=3.20289e-77 t=64909
hnmh 	解构	c=2 d=7.26743e-40 t=64909
hnmj 	解析	c=16 d=4.91689 t=64909
hnn 	久	c=4 d=4.33861e-30 t=64909
hnnh 	带宽	c=4 d=0.375311 t=64909
hnnu 	解密	c=16 d=8.34326 t=64909
hnoo 	营	c=5 d=4.32016e-20 t=64909
hnug 	解释	c=11 d=0.5975 t=64909
hnxa 	触发	c=7 d=1.43801 t=64909
hnxh 	营业	c=8 d=6.61996e-104 t=64909
ho 	够	c=6 d=2.46765e-09 t=64909
hodd 	够	c=7 d=6.07047e-11 t=64909
hoi 	句	c=4 d=1.68751e-20 t=64909
honc 	融	c=1 d=4.40989e-104 t=64909
hooh 	召唤	c=1 d=2.52608e-49 t=64909
hoos 	句号	c=1 d=4.19366e-42 t=64909
hoos 	蕚	c=1 d=5.14783e-42 t=64909
hoos 	逗号	c=3 d=1.6603e-41 t=64909
hoos 	鸛	c=1 d=5.33119e-42 t=64909
hoqg 	副	c=5 d=2.64225e-119 t=64909
hovl 	够戗	c=1 d=1.56389e-55 t=64909
hovn 	副作用	c=6 d=5.62234e-119 t=64909
hp 	节	c=4 d=1.54601 t=64909
hpdi 	节流	c=1 d=6.10758e-112 t=64909
hpkn 	节前	c=3 d=6.39876e-61 t=64909
hplo 	节点	c=2 d=4.89093e-28 t=64909
hq 	象	c=2 d=7.97947e-22 t=64909
hqba 	获取	c=215 d=10.8071 t=64909
hqo 	茴	c=1 d=2.81454e-27 t=64909
hqu 	画	c=13 d=2.43928e-20 t=64909
hr 	天	c=135 d=11.9775 t=64909
hraz 	更好	c=18 d=4.48398e-06 t=64909
hrd 	苂	c=1 d=1.97094e-100 t=64909
hrdd 	更多	c=54 d=2.20521 t=64909
hrdf 	天津	c=18 d=9.54026 t=64909
hrdo 	更名	c=1 d=2.52557e-76 t=64909
hrgm 	天数	c=22 d=1.37236e-18 t=64909
hrgm 	负数	c=4 d=9.15092e-22 t=64909
hrhr 	天天	c=1 d=4.73125e-108 t=64909
hri 	更	c=32 d=0.517465 t=64909
hri 	負	c=2 d=1.47867e-81 t=64909
hrif 	负	c=1 d=4.8255e-46 t=64909
hrii 	天理	c=1 d=9.98066e-37 t=64909
hrii 	英语	c=2 d=0.941765 t=64909
hrik 	更新	c=398 d=25.7044 t=64909
hrio 	更高	c=2 d=0.218712 t=64909
hrix 	英文	c=15 d=0.76338 t=64909
hriy 	英	c=6 d=1.93908e-26 t=64909
hrla 	更改	c=4 d=0.67032 t=64909
hrlr 	更快	c=1 d=7.0661e-33 t=64909
hrvy 	负债	c=1 d=9.86589e-48 t=64909
hrxo 	更加	c=17 d=0.99006 t=64909
hryr 	负责	c=5 d=0.00207694 t=64909
hryv 	负责人	c=1 d=0.000812823 t=64909
hs 	武	c=1 d=8.62317e-23 t=64909
hsjc 	蔵	c=4 d=5.97405e-51 t=64909
hss 	菚	c=1 d=2.08506e-27 t=64909
htmi 	苹果	c=2 d=3.73427e-30 t=64909
hu 	到	c=388 d=7.78514 t=64909
hua 	萎	c=3 d=0.740628 t=64909
hubg 	到期	c=63 d=4.36697e-22 t=64909
hug 	莉	c=1 d=4.19053e-92 t=64909
hugj 	至少	c=1 d=5.80119e-36 t=64909
huii 	到访	c=1 d=8.94805e-105 t=64909
hukj 	芯片	c=1 d=9.19261e-40 t=64909
hul 	勾	c=1 d=1.58316e-52 t=64909
hunq 	到家	c=2 d=3.68608e-83 t=64909
hurz 	到达	c=1 d=1 t=64909
huth 	至福	c=1 d=5.06068e-47 t=64909
huvd 	至今	c=3 d=1.22098 t=64909
huvh 	致命	c=1 d=1.07193e-23 t=64909
huy 	至	c=20 d=1.53032e-35 t=64909
huya 	致	c=22 d=1.72596 t=64909
huyg 	到	c=1 d=4.23265e-92 t=64909
hv 	花	c=4 d=5.21408e-16 t=64909
hvi 	荃	c=3 d=0.755783 t=64909
hvj 	欠	c=24 d=1.88879e-37 t=64909
hvl 	花	c=6 d=6.91204e-09 t=64909
hvsr 	欠费	c=36 d=1.2009e-28 t=64909
hvsr 	花费	c=1 d=1.67991e-44 t=64909
hvyg 	欠款	c=54 d=6.31049e-26 t=64909
hw 	无	c=32 d=2.30068 t=64909
hwdp 	无良	c=1 d=7.76476e-54 t=64909
hwdy 	无法	c=9 d=2.88983 t=64909
hwfo 	无损	c=1 d=1.5369e-56 t=64909
hwhd 	葯	c=1 d=3.87177e-73 t=64909
hwi 	免	c=38 d=7.59289e-26 t=64909
hwig 	无效	c=6 d=3.29671 t=64909
hwiv 	无论	c=3 d=4.255e-07 t=64909
hwix 	苋	c=1 d=0.995012 t=64909
hwkr 	无关	c=2 d=2.23434e-17 t=64909
hwnf 	无用	c=8 d=2.15846e-44 t=64909
hwsr 	免费	c=10 d=2.04169 t=64909
hwws 	无线	c=4 d=9.51576e-58 t=64909
hxh 	亚	c=10 d=2.17688e-34 t=64909
hxhy 	亚	c=1 d=6.13611e-108 t=64909
hxi 	菲	c=1 d=8.41031e-23 t=64909
hxjy 	严	c=2 d=2.55712e-75 t=64909
hxma 	严格	c=2 d=7.278e-102 t=64909
hxnt 	苏宁	c=4 d=4.82713e-41 t=64909
hxoi 	苦口	c=1 d=1.01167e-107 t=64909
hxok 	苦	c=1 d=9.62329e-108 t=64909
hxud 	恶心	c=1 d=1.23873e-48 t=64909
hxvj 	恶人	c=1 d=4.18256e-99 t=64909
i 	这	c=705 d=9.25743 t=64909
ia 	政	c=3 d=1.43036 t=64909
iadu 	政治	c=1 d=6.93657e-80 t=64909
iaii 	玻璃	c=1 d=0.778801 t=64909
iaiw 	玫瑰	c=1 d=3.23298e-40 t=64909
iajv 	政府	c=2 d=4.20431e-99 t=64909
iakm 	政策	c=3 d=4.10824e-75 t=64909
ib 	旧	c=16 d=0.565526 t=64909
ibi 	詛	c=3 d=3.9156e-29 t=64909
ibij 	旧	c=1 d=4.21984e-27 t=64909
ibp 	瑘	c=1 d=1.22411e-26 t=64909
id 	主	c=29 d=1.94283 t=64909
idbt 	主题	c=128 d=4.96211 t=64909
idbt 	议题	c=36 d=1.24835e-38 t=64909
iddi 	主流	c=2 d=1.085 t=64909
idhy 	言	c=1 d=1 t=64909
idik 	主意	c=1 d=7.68749e-54 t=64909
idiv 	默认	c=168 d=1.74668 t=64909
idly 	主轴	c=3 d=3.37656e-43 t=64909
idmj 	主板	c=3 d=0.0013295 t=64909
idmw 	主机	c=8 d=0.960789 t=64909
ids 	黓	c=1 d=2.0367e-45 t=64909
idsa 	主要	c=73 d=4.87798 t=64909
idtr 	主页	c=8 d=1.72223 t=64909
idvi 	主修	c=1 d=3.01646e-48 t=64909
idvm 	主体	c=21 d=0.0021293 t=64909
idx 	议	c=1 d=1.2725e-41 t=64909
idzf 	主键	c=1 d=0.786628 t=64909
ie 	市	c=4 d=0.68045 t=64909
iei 	市	c=6 d=0.101774 t=64909
ieyw 	市场	c=1 d=3.40279e-54 t=64909
ig 	说	c=96 d=1.8376 t=64909
igae 	产妇	c=1 d=3.69711e-30 t=64909
igbh 	商量	c=5 d=2.9434e-46 t=64909
igbn 	说明	c=87 d=4.34394 t=64909
igdi 	交流	c=3 d=2.16691 t=64909
igdp 	产房	c=1 d=5.80575e-104 t=64909
igfh 	交换	c=2 d=1.37842e-31 t=64909
igfh 	产物	c=10 d=0.844893 t=64909
ighl 	颜色	c=25 d=1.21635 t=64909
igho 	交互	c=37 d=4.49684 t=64909
igi 	班	c=9 d=1.83494e-44 t=64909
igii 	谜语	c=1 d=5.29507e-109 t=64909
igik 	玩意	c=3 d=1.00013e-31 t=64909
igiw 	效率	c=4 d=1.26577e-08 t=64909
igj 	六	c=8 d=5.69019e-44 t=64909
igjc 	产	c=80 d=2.85397e-27 t=64909
igjt 	商厦	c=1 d=5.71677e-40 t=64909
igjy 	产生	c=5 d=0.0948933 t=64909
igjy 	旁生	c=1 d=5.56844e-113 t=64909
igma 	产权	c=76 d=4.58562e-05 t=64909
igmg 	说来	c=1 d=3.18919e-56 t=64909
igmi 	效果	c=14 d=1.5462 t=64909
ign 	誚	c=1 d=1.79073e-119 t=64909
igno 	商	c=16 d=0.952276 t=64909
igoo 	产品	c=36 d=3.12525 t=64909
igrj 	商贩	c=1 d=8.3252e-21 t=64909
igvi 	交集	c=5 d=1.24235e-53 t=64909
igvx 	交付	c=2 d=3.68747e-106 t=64909
igw 	玩	c=1 d=5.91335e-26 t=64909
igwl 	训练	c=1 d=3.14395e-35 t=64909
igx 	交	c=5 d=0.718924 t=64909
igxa 	效	c=13 d=0.786628 t=64909
igxh 	产业	c=1 d=2.11781e-122 t=64909
igys 	商城	c=3 d=2.1279 t=64909
igzn 	交通	c=1 d=6.33456e-12 t=64909
ih 	方	c=190 d=4.56145 t=64909
iha 	放	c=25 d=1.2594 t=64909
ihaz 	正好	c=2 d=2.673e-67 t=64909
ihbg 	工具	c=106 d=3.72362 t=64909
ihdh 	工资	c=9 d=1.17531e-18 t=64909
ihdi 	旅游	c=1 d=3.32351e-12 t=64909
ihdy 	方法	c=381 d=10.2603 t=64909
ihgn 	正常	c=23 d=0.955997 t=64909
ihh 	弄	c=65 d=2.25255e-28 t=64909
ihh 	王	c=6 d=1.48585e-60 t=64909
ihhw 	王	c=1 d=5.63226e-100 t=64909
ihi 	正	c=9 d=7.48442 t=64909
ihig 	工	c=3 d=4.98661e-104 t=64909
ihig 	工商	c=3 d=4.87256e-100 t=64909
ihiw 	五	c=12 d=5.63358e-44 t=64909
ihjn 	方向	c=11 d=0.000468957 t=64909
ihls 	旋转	c=2 d=6.03395e-47 t=64909
ihmc 	方框	c=2 d=3.90232e-27 t=64909
ihna 	方案	c=9 d=0.00474815 t=64909
ihnh 	王室	c=1 d=2.74981e-18 t=64909
ihno 	询问	c=4 d=0.873716 t=64909
ihph 	正确	c=17 d=1.29787 t=64909
ihqx 	放置	c=2 d=7.77187e-06 t=64909
ihrg 	正则	c=16 d=0.5975 t=64909
ihrh 	放大	c=1 d=1.04216e-74 t=64909
ihrz 	放大镜	c=1 d=2.38019e-55 t=64909
ihsi 	方式	c=123 d=2.55615 t=64909
ihsi 	正式	c=3 d=0.0685632 t=64909
ihtq 	方面	c=11 d=1.98756 t=64909
ihud 	放心	c=2 d=1.32675e-32 t=64909
ihug 	工程师	c=3 d=1.93223 t=64909
ihuo 	工程	c=17 d=8.24343 t=64909
ihuo 	方程	c=1 d=9.87092e-54 t=64909
ihuo 	旅程	c=1 d=0.718924 t=64909
ihvh 	方便	c=38 d=0.548811 t=64909
ihvp 	放假	c=1 d=7.72734e-56 t=64909
ihvr 	族	c=4 d=2.63166e-18 t=64909
ihvu 	工作台	c=4 d=8.73393e-26 t=64909
ihvv 	工作	c=103 d=4.59882 t=64909
ihvz 	遊	c=1 d=8.43123e-111 t=64909
ihxi 	放在	c=2 d=1.98067e-11 t=64909
ihxi 	正在	c=17 d=1.54501 t=64909
ihyg 	放款	c=46 d=4.07444e-48 t=64909
ihz 	方	c=1 d=2.77813e-109 t=64909
ii 	里	c=168 d=2.22072 t=64909
iibh 	证照	c=2 d=1.20858e-108 t=64909
iidd 	许许多多	c=1 d=3.65002e-85 t=64909
iidy 	语法	c=15 d=3.46954 t=64909
iifz 	证书	c=11 d=2.23989 t=64909
iihn 	理解	c=3 d=0.524663 t=64909
iiho 	语句	c=8 d=1.11839e-36 t=64909
iihz 	证	c=31 d=2.02645e-27 t=64909
iiid 	语言	c=115 d=3.91214 t=64909
iiik 	语音	c=7 d=1.66821 t=64909
iiir 	访谈	c=2 d=3.0416e-28 t=64909
iiix 	语文	c=2 d=6.08596e-32 t=64909
iimb 	理想	c=1 d=4.88844e-22 t=64909
iina 	访客	c=2 d=3.51575e-107 t=64909
iino 	访问	c=24 d=1.3168 t=64909
iio 	语	c=21 d=8.10242 t=64909
iioy 	语	c=3 d=1.30764 t=64909
iitq 	里面	c=4 d=2.78226e-09 t=64909
iiuv 	該	c=16 d=1.51828 t=64909
iivd 	理念	c=3 d=1.56933 t=64909
iivf 	证件	c=26 d=6.59657e-56 t=64909
iix 	玟	c=1 d=1.28622e-20 t=64909
iiyi 	理由	c=2 d=3.05057e-99 t=64909
ij 	重	c=37 d=1.55575 t=64909
ijaa 	重叠	c=1 d=5.68517e-63 t=64909
ijbt 	话题	c=2 d=4.08095e-45 t=64909
ijdp 	重启	c=20 d=1.73681 t=64909
ijh 	重	c=1 d=7.47985e-26 t=64909
ijid 	谣言	c=1 d=7.14272e-101 t=64909
ijig 	诉讼	c=86 d=4.18256e-37 t=64909
ijik 	重新	c=73 d=1.70182 t=64909
ijis 	重试	c=5 d=0.744531 t=64909
ijiw 	重现	c=1 d=4.8237e-71 t=64909
ijix 	碧水	c=1 d=5.35227e-59 t=64909
ijjn 	垂爱	c=1 d=2.23375e-102 t=64909
ijlo 	重点	c=10 d=3.5699 t=64909
ijmg 	重来	c=1 d=1.01363e-71 t=64909
ijmh 	重构	c=42 d=1.5373 t=64909
ijns 	瑶寨	c=1 d=1.44744e-27 t=64909
ijqx 	重置	c=20 d=2.8256 t=64909
ijrh 	重大	c=1 d=5.72456e-56 t=64909
ijsa 	重要	c=8 d=4.32078e-11 t=64909
ijsr 	话费	c=1 d=8.8214e-55 t=64909
ijvb 	重复	c=11 d=0.970446 t=64909
ijvd 	重命名	c=3 d=3.09029e-09 t=64909
ijvh 	重合	c=1 d=4.7216e-84 t=64909
ijwb 	重组	c=35 d=3.15584e-50 t=64909
ijxb 	垂直	c=5 d=1.72514e-33 t=64909
ijxo 	话	c=42 d=2.26157 t=64909
ijxs 	重载	c=2 d=1.5446e-56 t=64909
ijxx 	诉求	c=4 d=6.99364e-54 t=64909
ik 	部	c=23 d=2.5669 t=64909
ikb 	音	c=10 d=1.00299e-22 t=64909
ikbh 	音量	c=7 d=9.65247e-26 t=64909
ikbo 	韶	c=2 d=5.20905e-54 t=64909
ikbt 	竟是	c=1 d=0.199888 t=64909
ikbu 	意	c=12 d=2.0385e-26 t=64909
ikd 	立	c=8 d=1.88177e-26 t=64909
ikdd 	新浪	c=1 d=1.76839e-89 t=64909
ikdl 	意外	c=1 d=0.737123 t=64909
ikdx 	意义	c=4 d=2.16683e-09 t=64909
ikeg 	端	c=56 d=3.04075 t=64909
iken 	站岗	c=1 d=0.637628 t=64909
ikfz 	新建	c=14 d=1.86975 t=64909
ikgh 	部分	c=183 d=2.48508 t=64909
ikhp 	章节	c=1 d=2.5187e-44 t=64909
ikjb 	亲自	c=2 d=0.170333 t=64909
ikjn 	意向	c=9 d=9.60591e-105 t=64909
ikkj 	新版	c=1 d=1.28555e-14 t=64909
ikkj 	站长	c=1 d=0.261846 t=64909
iklj 	音乐	c=4 d=1.80608e-43 t=64909
iklo 	站	c=6 d=0.774917 t=64909
iklo 	站点	c=2 d=0.68045 t=64909
ikmt 	新	c=279 d=12.0865 t=64909
ikmy 	辣椒	c=1 d=1.95405e-87 t=64909
iknb 	新闻	c=24 d=13.9211 t=64909
iknd 	部门	c=28 d=0.0748045 t=64909
iknl 	龍	c=1 d=8.02282e-115 t=64909
ikoi 	端口	c=14 d=2.35628 t=64909
ikom 	意味	c=1 d=0.125557 t=64909
ikop 	部	c=1 d=3.62799e-102 t=64909
ikpd 	立即	c=3 d=1.87451 t=64909
ikqa 	意图	c=1 d=1.0934e-21 t=64909
ikqj 	部署	c=64 d=6.06261 t=64909
ikqo 	章回	c=1 d=4.09791e-35 t=64909
ikqu 	意思	c=13 d=1.48539 t=64909
ikuy 	新鲜	c=1 d=7.15414e-61 t=64909
ikvf 	部件	c=44 d=1.00813e-30 t=64909
ikvh 	音像	c=1 d=9.43953e-87 t=64909
ikwi 	意见	c=17 d=2.6306e-26 t=64909
ikxb 	譜	c=1 d=0.99005 t=64909
ikyg 	新增	c=29 d=1.59406e-58 t=64909
il 	记	c=4 d=0.786628 t=64909
ilb 	盲	c=1 d=2.90025e-27 t=64909
ilei 	记录	c=75 d=2.46439 t=64909
ilil 	忘记	c=6 d=4.383e-32 t=64909
ilvb 	记得	c=9 d=0.900325 t=64909
ilvi 	记住	c=4 d=2.51745e-30 t=64909
imth 	意想不到	c=1 d=1.21565e-62 t=64909
in 	调	c=18 d=0.782704 t=64909
ineh 	调幅	c=2 d=5.11104e-97 t=64909
inig 	班门弄斧	c=1 d=1.82517e-49 t=64909
inio 	调高	c=1 d=1.16552e-96 t=64909
inis 	调试	c=22 d=1.60575 t=64909
inma 	调整	c=157 d=4.40914 t=64909
inmb 	调查	c=5 d=1.31302e-115 t=64909
innf 	调用	c=30 d=0.694197 t=64909
inps 	调研	c=1 d=3.15316e-40 t=64909
insl 	调配	c=1 d=6.52796e-101 t=64909
io 	就	c=498 d=5.07934 t=64909
iobo 	就职	c=4 d=2.37162e-42 t=64909
iog 	京	c=2 d=1.84125e-64 t=64909
iogm 	毫米	c=1 d=7.41298e-38 t=64909
ioig 	高效	c=2 d=0.000100506 t=64909
ioio 	高亮	c=15 d=1.54753 t=64909
ioio 	高高	c=1 d=4.78547e-95 t=64909
iojh 	亮度	c=2 d=1.00322e-25 t=64909
iojh 	高度	c=4 d=2.09304e-42 t=64909
iolh 	^京东	c=6 d=0.786628 t=64909
iomm 	噩梦	c=1 d=7.27734e-56 t=64909
iona 	敲	c=1 d=1.50872e-103 t=64909
ionl 	毫	c=2 d=5.73492e-99 t=64909
iono 	高	c=30 d=1.80378 t=64909
iono 	髙	c=2 d=1.04526e-33 t=64909
ionw 	亮	c=3 d=1.05057e-33 t=64909
ioox 	识别	c=6 d=7.36974e-28 t=64909
ioug 	毫秒	c=3 d=6.48756e-18 t=64909
ioug 	熟悉	c=2 d=1.04054 t=64909
iowa 	高级	c=3 d=3.46857e-103 t=64909
iowl 	熟练	c=7 d=3.60262 t=64909
ioxh 	就业	c=1 d=6.41895e-50 t=64909
ioyl 	就地	c=1 d=8.1582e-106 t=64909
iozp 	郭	c=2 d=2.02833e-26 t=64909
ir 	谈	c=1 d=0.697676 t=64909
irir 	谢谢	c=5 d=0.71177 t=64909
irr 	談	c=1 d=0.690734 t=64909
irto 	琦	c=1 d=0.786628 t=64909
irxn 	贡献	c=1 d=2.42861e-86 t=64909
is 	讲	c=4 d=1 t=64909
isag 	巧妙	c=1 d=1.52819e-48 t=64909
isg 	珙	c=3 d=9.06502e-52 t=64909
ishn 	讲解	c=2 d=2.60933e-46 t=64909
isi 	試	c=14 d=0.960789 t=64909
isik 	诚意	c=1 d=6.2786e-84 t=64909
